Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02693;Systemutvecklare.NET;Malmö;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02725;UX-Designer;Malmö;Distans;Beviljat;32;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH00037;Tandsköterska;Halmstad;Distans;Beviljat;35;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH00552;Ambulanssjukvårdare;Jakobsberg, Kista;Bunden;Beviljat;32;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH01069;Specialistundersköterska inom vård och omsorg av äldre;Piteå;Distans;Beviljat;35;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH01688;Specialistundersköterska röntgen;Norrköping;Distans;Beviljat;27;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH01813;Tandsköterska;Järfälla, Kista;Bunden;Beviljat;35;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH01814;Tandsköterska;Västerås;Distans;Beviljat;35;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH02042;Specialistundersköterska operation, anestesi och intensivvård;Järfälla, Kista;Distans;Beviljat;35;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH02294;Neuropsykiatriska funktionsnedsättningar i teori och praktik;Stockholm;Distans;Startat;120;40
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH02451;Specialistundersköterska barn- och ungdomssjukvård;Eskilstuna, Umeå;Distans;Beviljat;25;
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH02633;Välfärdsteknik och AI inom vård och omsorg;Stockholm;Distans;Startat;140;39
MedLearn AB;Lövholmsvägen 18;Lövholmsvägen 18;11743;Stockholm;christer.ivarssonosterberg@irisgruppen.se;010-7610040;YH02729;Specialistundersköterska inom Onkologi/Cancervård;Stockholm;Distans;Beviljat;35;
Miljötekniska Yrkeshögskolan i Sverige AB;Observatoriegatan 15;Observatoriegatan 15;11329;Stockholm;carl@mtyh.se;072-3509405;YH02702;Rörinspektör Mark/Fastighet;Göteborg, Uppsala, Västerås;Distans;Beviljat;20;
Miljötekniska Yrkeshögskolan i Sverige AB;Observatoriegatan 15;Observatoriegatan 15;11329;Stockholm;carl@mtyh.se;072-3509405;YH02703;Spol- och Reliningstekniker;Norrköping, Stockholm, Västerås;Distans;Beviljat;20;
Montico Kompetensutveckling AB;Västra vägen 14;Box 416;57325;Tranås;info@montico.se;010-2659500;YH01071;Lönekonsult med systeminriktning;Ljungby, Växjö;Bunden;Beviljat;30;
Montico Kompetensutveckling AB;Västra vägen 14;Box 416;57325;Tranås;info@montico.se;010-2659500;YH02146;Pensioner och försäkringar för lönekonsulter;Växjö;Distans;Startat;90;26
Montico Kompetensutveckling AB;Västra vägen 14;Box 416;57325;Tranås;info@montico.se;010-2659500;YH02219;Lönehantering för redovisningskonsulter;Växjö;Distans;Startat;90;29
Montico Kompetensutveckling AB;Västra vägen 14;Box 416;57325;Tranås;info@montico.se;010-2659500;YH02683;Byggnadsinspektör/tillsynshandläggare PBL;Norrköping, Ronneby;Distans;Beviljat;25;
Mora kommun;Kristinebergsgatan 8-10;Mora gymnaisum;79280;Mora;gymnasieforvaltningen@mora.se;0250- 26 000;YH00974;Robot- och CNC-tekniker;Mora;Bunden;Beviljat;12;
Movant AB;Norra ågatan 10, 416 64;Box 2546;40317;Göteborg;epost@movant.se;317035220;YH01926;VVS-tekniker Malmö/Lund;Lund;Bunden;Beviljat;32;
Movant AB;Norra ågatan 10, 416 64;Box 2546;40317;Göteborg;epost@movant.se;317035220;YH02162;Drönarpilot - Projektering och kalkylering;Göteborg;Bunden;Startat;50;19
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00032;Elkraftsingenjör;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00101;Elingenjör konstruktion;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00171;UX-designer;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00180;Mjukvaruutvecklare, Inbyggda system och IoT;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00273;Javautvecklare;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00273;Javautvecklare;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00510;Frontend-utvecklare;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00511;Webbutvecklare .NET;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00512;Byggnadsingenjör hållbart byggande;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00514;Byggnadsingenjör ROT;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00515;Byggnadsingenjör Infrastruktur;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00516;Byggnadsingenjör mark och vatten;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00541;DevOps Engineer;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00642;Energiingenjör;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00656;Järnvägsingenjör;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00660;VA-projektör;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00737;IT-infrastrukturspecialist;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00759;IT-säkerhetstekniker;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00853;Webbutvecklare fullstack open source;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00865;Social Media Manager;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH00867;Virtual Reality-utvecklare;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01148;Business Intelligence-analytiker ;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01151;Byggnadsingenjör BIM;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01152;Arbetsledare bygg och anläggning;Solna, Visby;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01164;Programutvecklare .NET;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01638;Robotic Process Automation;Solna;Distans;Startat;128;36
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01685;Tandsköterska;Solna;Distans;Startat;35;22
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01718;Data Engineer;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01724;Byggnadsingenjör digitalt byggande;Solna;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01805;Pythonutvecklare inom AI;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01838;Kalkyl och inköp - resurseffektiv byggprocess;Solna;Distans;Startat;180;48
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01839;BIM-verktyg: Parametrisk design och programmering ;Solna;Distans;Startat;128;35
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH01840;BIM verktyg: Punktmolnsmodellering och Virtual Reality;Solna;Distans;Startat;128;35
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02033;Teknisk 3D artist inom spel;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02090;Cirkulärt byggande och återbruk ;Solna;Distans;Startat;180;49
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02267;Cyber Security;Solna;Distans;Startat;0;42
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02300;Cloud Fundamentals;Solna;Distans;Startat;160;43
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02320;Välfärdsteknik inom vård och omsorg;Solna;Distans;Startat;120;43
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02357;Spelanimatör;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02471;OT-säkerhet;Solna;Distans;Startat;140;34
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02679;Järnvägsingenjör;Gävle;Distans;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02685;Underhållsingenjör infrastruktur;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02692;MLOps Engineer;Solna;Bunden;Beviljat;35;
Nackademin AB;Tomtebodavägen 3a;Tomtebodavägen 3a;17165;Solna;info@nackademin.se;08-4666000;YH02732;OT-säkerhetsingenjör;Solna;Bunden;Beviljat;35;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH00342;Inköp & Supply Management;Västra Frölunda;Bunden;Beviljat;35;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH00343;Inköp & Supply Management;Luleå;Distans;Beviljat;35;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH00614;Inköp & Supply Management ;Växjö;Bunden;Beviljat;30;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH00615;Inköp & Supply Management ;Malmö;Bunden;Beviljat;35;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH00707;Paralegal;Malmö;Bunden;Beviljat;35;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH00810;Digital Redovisningsekonom/Konsult med löneadministration;Luleå;Bunden;Beviljat;30;
NBI i Sverige AB ;Redegatan 1b;Stora Nygatan 52;21137;Malmö;yh@nbi-handelsakademin.se;720503728;YH01091;Logistics Planner;Växjö;Bunden;Beviljat;30;
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH01495;Solenergitekniker ;Malmö;Distans;Beviljat;20;
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH01707;Auktoriserad Elinstallatör ;Trollhättan;Distans;Beviljat;35;
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH01842;Kvalitetssäkring av hållbara solcellsanläggningar ;Västerås;Distans;Startat;70;18
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH01934;Mätningstekniker;Västerås;Distans;Beviljat;35;
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH02540;Solenergi- och batterilagring;Västerås;Distans;Startat;60;29
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH02561;Geodetisk Mätningsteknik;Trollhättan;Distans;Startat;70;27
Nercia Utbildning;Grusgropsvägen 2;Box 14055;70014;Örebro;anna.belinki@nercia.se;019-206700;YH02681;Drift- och Fastighetstekniker;Kista;Distans;Beviljat;30;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH00380;Fastighetsförvaltare;Stockholm;Bunden;Beviljat;35;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH00382;Fastighetsförvaltare;Göteborg;Bunden;Beviljat;35;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH00384;Fastighetsförvaltare med teknisk inriktning;Malmö;Bunden;Beviljat;28;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH00895;Byggnadsingenjör - Digitalt Byggande;Malmö;Bunden;Beviljat;32;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH00954;Systemutvecklare .NET;Malmö;Bunden;Beviljat;32;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH00956;Systemutvecklare .NET;Stockholm;Bunden;Beviljat;32;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH01750;Filmarbetare / Junior Line Producer;Stockholm;Bunden;Startat;26;31
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH02360;VVS-ingenjör;Stockholm;Bunden;Beviljat;35;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH02379;Specialist tv- och digitalproduktion;Stockholm;Bunden;Beviljat;32;
Newton Kompetensutveckling AB;Malmvägen 1;Malmvägen 1;10253;Stockholm;emelie.gruseus@newton.se;841045600;YH02502;Hållbarhetsdeklarationer – CSRD för bygg- och fastighetsbranscherna;Malmö;Distans;Startat;80;56
Nordiskt FlygTeknikCentrum Aktiebolag;Luftfartsvägen 11;Luftfartsvägen 11;97254;Luleå;info@nftc.se;0920-232164;YH00992;Flygtekniker-helikopter;Luleå;Bunden;Beviljat;25;
Nybro kommun;Dunderbergsgatan 2;Dunderbergsgatan 2;38280;Nybro;fredrik.blad@nybro.se;0481- 450 00;YH00170;Design och konstglas;Nybro;Bunden;Beviljat;12;
Nyköpings kommun - Flygteknik technical training;General Schybergs väg 12-14;General Schybergs väg 12-14;61192;Nyköping;bjorn.axelsson@nykoping.se;0155-248987;YH00736;Flygtekniker / El- och Avioniktekniker;Nyköping;Bunden;Beviljat;24;
Näringslivsakademin;Essingestråket 15;Essingestråket 15;11266;Stockholm;info@naringslivsakademin.se;708544777;YH01705;Inköpare med hållbarhetskompetens;Stockholm;Distans;Beviljat;35;
Näringslivsakademin;Essingestråket 15;Essingestråket 15;11266;Stockholm;info@naringslivsakademin.se;708544777;YH02041;Kommunikativ Redovisningsekonom;Stockholm;Distans;Beviljat;35;
Nässjö kommun, Nässjöakademin;Framtidsvägen 1;Framtidsvägen 1;57122;Nässjö;larcenter@nassjo.se;0380-517251;YH00931;Lokförare;Nässjö;Bunden;Startat;27;28
Nässjö kommun, Nässjöakademin;Framtidsvägen 1;Framtidsvägen 1;57122;Nässjö;larcenter@nassjo.se;0380-517251;YH01217;Kvalificerad kontaktledningstekniker;Nässjö;Bunden;Beviljat;15;
Nässjö kommun, Nässjöakademin;Framtidsvägen 1;Framtidsvägen 1;57122;Nässjö;larcenter@nassjo.se;0380-517251;YH01763;Vindkraftstekniker;Nässjö;Bunden;Beviljat;20;
Nätverkstan Kultur AB;Heurlins plats 1B, 3 tr;Box 31120;40032;Göteborg;karin.dalborg@natverkstan.net;031-7439908;YH00324;Kulturverkstan - Internationell kulturprojektledare;Göteborg;Bunden;Beviljat;35;
Ocellus Information Systems AB;Kungsgatan 111;Box 1986;75149;Uppsala;rene.escalier@ocellus.se;018-422676;YH00389;Mobila System och GIT;Uppsala;Distans;Beviljat;35;
Olofströms kommun, Yrkeshögskolan Syd;Vällaregatan 30;Box 302;29324;Olofström;yhs@olofstrom.se;0454-93000;YH00397;Ridlärare;Olofström;Bunden;Beviljat;12;
Olofströms kommun, Yrkeshögskolan Syd;Vällaregatan 30;Box 302;29324;Olofström;yhs@olofstrom.se;0454-93000;YH00693;Automationsingenjör - Robot;Olofström;Bunden;Beviljat;20;
Olofströms kommun, Yrkeshögskolan Syd;Vällaregatan 30;Box 302;29324;Olofström;yhs@olofstrom.se;0454-93000;YH01586;Processtekniker - Smart industri;Olofström, Perstorp, Ronneby, Simrishamn;Distans;Beviljat;22;
Omsorgsförlaget;;Järnvägsgatan 31;81230;Storvik;info@omsorgsforlaget.se;738611300;YH01808;Stödpedagog inom funktionshinderområdet;Torsåker;Distans;Beviljat;35;
One Academy AB;Arenavägen 61, 9 trp;Rögrundsvägen 4 ;13467;Ingarö;ann.bertling@oneacademy.se;763981308;YH01024;Strategiskt inköp och upphandling;Ljungby, Malmö;Bunden;Beviljat;35;
One Academy AB;Arenavägen 61, 9 trp;Rögrundsvägen 4 ;13467;Ingarö;ann.bertling@oneacademy.se;763981308;YH01025;Strategiskt inköp och upphandling;Göteborg;Bunden;Beviljat;35;
One Academy AB;Arenavägen 61, 9 trp;Rögrundsvägen 4 ;13467;Ingarö;ann.bertling@oneacademy.se;763981308;YH01774;Strategiskt inköp och upphandling;Linköping;Bunden;Beviljat;35;
One Academy AB;Arenavägen 61, 9 trp;Rögrundsvägen 4 ;13467;Ingarö;ann.bertling@oneacademy.se;763981308;YH01777;Demand chain management - digitala lösningar för hållbara globala försörjningskedjor   ;Göteborg, Stockholm;Bunden;Startat;35;34
Origo Academy;Vaksalagatan 2;Uppsala;75320;Uppsala;rodi@origoacademy.se;722355557;YH02704;Sprinklerprojektör;Göteborg, Malmö, Skellefteå, Uppsala;Distans;Beviljat;20;
Osby kommun - Osby Lärcenter/Vuxenutbildningen och Ekbackeskolan;S.Portgatan 28;Osby Kommun;28380;Osby;marie.olsson@osby.se;0479-528534;YH01594;Certifierad svetsare med kvalificerad kompetens;Osby;Bunden;Beviljat;12;
Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling;Varvsgatan 15;Box 706;57228;Oskarshamn;nova@oskarshamn.se;010-3560180;YH00214;Specialistundersköterska inom vård och omsorg av äldre;Ljungby, Oskarshamn, Värnamo;Distans;Beviljat;30;
Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling;Varvsgatan 15;Box 706;57228;Oskarshamn;nova@oskarshamn.se;010-3560180;YH00372;Produktionsteknik;Oskarshamn, Västervik;Distans;Beviljat;23;
Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling;Varvsgatan 15;Box 706;57228;Oskarshamn;nova@oskarshamn.se;010-3560180;YH00632;Tandsköterska;Oskarshamn;Distans;Beviljat;22;
Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling;Varvsgatan 15;Box 706;57228;Oskarshamn;nova@oskarshamn.se;010-3560180;YH00985;Drifttekniker/Processoperatör;Oskarshamn, Växjö;Distans;Beviljat;20;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00001;Facility Management;Malmö;Bunden;Beviljat;35;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00002;Facility Management;Liljeholmen;Bunden;Beviljat;32;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00034;Affärsinriktad Redovisningsekonom;Linköping;Bunden;Beviljat;35;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00092;Payroll Controller ;Uddevalla;Bunden;Beviljat;35;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00131;Affärsinriktad Redovisningsekonom ;Uddevalla;Bunden;Beviljat;35;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00135;Affärsinriktad Redovisningsekonom;Jönköping;Bunden;Beviljat;35;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00216;Affärsinriktad Redovisningsekonom ;Gävle, Hudiksvall;Bunden;Beviljat;35;
Plushögskolan AB - Affärshögskolan;Anders Personsgatan 14;Anders Personsgatan 14;41664;Göteborg;info@affarshogskolan.se;0774-100 500;YH00218;Affärsinriktad Redovisningsekonom ;Göteborg;Bunden;Beviljat;35;
